college_code,dep,sem_1,sem_2,sem_3,sem_4,sem_5,sem_6,sem_7,sem_8,cgpi,type
10:MHSSCE,AUTOMOBILE ENGINEERING,6.57,6.76,6.76,6.34,6.5,6.28,7.34,7.9090624027401555,6.807382800342518,Regular
10:MHSSCE,AUTOMOBILE ENGINEERING,6.57,6.76,6.76,6.34,6.5,6.28,7.34,7.9090624027401555,6.807382800342518,Regular
10:MHSSCE,AUTOMOBILE ENGINEERING,6.57,6.76,6.76,6.34,6.5,6.28,7.34,7.9090624027401555,6.807382800342518,Regular
10:MHSSCE,AUTOMOBILE ENGINEERING,6.57,6.76,6.76,6.34,6.5,6.28,7.34,7.9090624027401555,6.807382800342518,Regular
10:MHSSCE,AUTOMOBILE ENGINEERING,,,6.2,5.91,5.79,5.52,6.66,7.4614410400390625,6.25690684000651,Diploma
10:MHSSCE,AUTOMOBILE ENGINEERING,6.57,6.76,6.76,6.34,6.5,6.28,7.34,7.9090624027401555,6.807382800342518,Regular
10:MHSSCE,AUTOMOBILE ENGINEERING,6.57,6.76,6.76,6.34,6.5,6.28,7.34,7.9090624027401555,6.807382800342518,Regular
10:MHSSCE,AUTOMOBILE ENGINEERING,6.57,6.76,6.76,6.34,6.5,6.28,7.34,7.9090624027401555,6.807382800342518,Regular
10:MHSSCE,AUTOMOBILE ENGINEERING,6.57,6.76,6.76,6.34,6.5,6.28,7.34,7.9090624027401555,6.807382800342518,Regular
10:MHSSCE,AUTOMOBILE ENGINEERING,6.57,6.76,6.76,6.34,6.5,6.28,7.34,7.9090624027401555,6.807382800342518,Regular
10:MHSSCE,AUTOMOBILE ENGINEERING,6.57,6.76,6.76,6.34,6.5,6.28,7.34,7.9090624027401555,6.807382800342518,Regular
10:MHSSCE,AUTOMOBILE ENGINEERING,6.57,6.76,6.76,6.34,6.5,6.28,7.34,7.9090624027401555,6.807382800342518,Regular
10:MHSSCE,AUTOMOBILE ENGINEERING,6.57,6.76,6.76,6.34,6.5,6.28,7.34,7.9090624027401555,6.807382800342518,Regular
10:MHSSCE,AUTOMOBILE ENGINEERING,6.57,6.76,6.76,6.34,6.5,6.28,7.34,7.9090624027401555,6.807382800342518,Regular
10:MHSSCE,AUTOMOBILE ENGINEERING,6.57,6.76,6.76,6.34,6.5,6.28,7.34,7.9090624027401555,6.807382800342518,Regular
10:MHSSCE,AUTOMOBILE ENGINEERING,6.57,6.76,6.76,6.34,6.5,6.28,7.34,7.9090624027401555,6.807382800342518,Regular
10:MHSSCE,AUTOMOBILE ENGINEERING,6.57,6.76,6.76,6.34,6.5,6.28,7.34,7.9090624027401555,6.807382800342518,Regular
10:MHSSCE,AUTOMOBILE ENGINEERING,6.57,6.76,6.76,6.34,6.5,6.28,7.34,7.9090624027401555,6.807382800342518,Regular
10:MHSSCE,AUTOMOBILE ENGINEERING,6.57,6.76,6.76,6.34,6.5,6.28,7.34,7.9090624027401555,6.807382800342518,Regular
10:MHSSCE,AUTOMOBILE ENGINEERING,6.57,6.76,6.76,6.34,6.5,6.28,7.34,7.9090624027401555,6.807382800342518,Regular
10:MHSSCE,AUTOMOBILE ENGINEERING,6.57,6.76,6.76,6.34,6.5,6.28,7.34,7.9090624027401555,6.807382800342518,Regular
10:MHSSCE,AUTOMOBILE ENGINEERING,6.57,6.76,6.76,6.34,6.5,6.28,7.34,7.9090624027401555,6.807382800342518,Regular
10:MHSSCE,AUTOMOBILE ENGINEERING,6.57,6.76,6.76,6.34,6.5,6.28,7.34,7.9090624027401555,6.807382800342518,Regular
10:MHSSCE,AUTOMOBILE ENGINEERING,6.57,6.76,6.76,6.34,6.5,6.28,7.34,7.9090624027401555,6.807382800342518,Regular
10:MHSSCE,AUTOMOBILE ENGINEERING,6.57,6.76,6.76,6.34,6.5,6.28,7.34,7.9090624027401555,6.807382800342518,Regular
10:MHSSCE,AUTOMOBILE ENGINEERING,6.57,6.76,6.76,6.34,6.5,6.28,7.34,7.9090624027401555,6.807382800342518,Regular
10:MHSSCE,AUTOMOBILE ENGINEERING,6.57,6.76,6.76,6.34,6.5,6.28,7.34,7.9090624027401555,6.807382800342518,Regular
10:MHSSCE,AUTOMOBILE ENGINEERING,6.57,6.76,6.76,6.34,6.5,6.28,7.34,7.9090624027401555,6.807382800342518,Regular
10:MHSSCE,AUTOMOBILE ENGINEERING,6.57,6.76,6.76,6.34,6.5,6.28,7.34,7.9090624027401555,6.807382800342518,Regular
10:MHSSCE,AUTOMOBILE ENGINEERING,6.57,6.76,6.76,6.34,6.5,6.28,7.34,7.9090624027401555,6.807382800342518,Regular
10:MHSSCE,AUTOMOBILE ENGINEERING,6.57,6.76,6.76,6.34,6.5,6.28,7.34,7.9090624027401555,6.807382800342518,Regular
10:MHSSCE,AUTOMOBILE ENGINEERING,6.57,6.76,6.76,6.34,6.5,6.28,7.34,7.9090624027401555,6.807382800342518,Regular
10:MHSSCE,AUTOMOBILE ENGINEERING,6.57,6.76,6.76,6.34,6.5,6.28,7.34,7.9090624027401555,6.807382800342518,Regular
10:MHSSCE,AUTOMOBILE ENGINEERING,6.57,6.76,6.76,6.34,6.5,6.28,7.34,7.9090624027401555,6.807382800342518,Regular
10:MHSSCE,AUTOMOBILE ENGINEERING,6.57,6.76,6.76,6.34,6.5,6.28,7.34,7.9090624027401555,6.807382800342518,Regular
10:MHSSCE,AUTOMOBILE ENGINEERING,,,6.2,5.91,5.79,5.52,6.66,7.4614410400390625,6.25690684000651,Diploma
10:MHSSCE,AUTOMOBILE ENGINEERING,,,6.2,5.91,5.79,5.52,6.66,7.4614410400390625,6.25690684000651,Diploma
10:MHSSCE,AUTOMOBILE ENGINEERING,,,6.2,5.91,5.79,5.52,6.66,7.4614410400390625,6.25690684000651,Diploma
10:MHSSCE,AUTOMOBILE ENGINEERING,,,6.2,5.91,5.79,5.52,6.66,7.4614410400390625,6.25690684000651,Diploma
